# Pause toggle, 2026-08-12, MacBookPro18,3. Pass 1 paused, pass 2 unpaused.
# Mic state (CoreAudio, device 90), 5 Hz:
14:42:32.124  device=90  live
14:42:51.338  device=90  MUTED
14:42:56.234  device=90  live
done
# Lid angle, 10 Hz:
14:43:20.532   126°  screens=1  raw: 01 7e 00
14:43:20.635   126°  screens=1  raw: 01 7e 00
14:43:20.742   126°  screens=1  raw: 01 7e 00
14:43:20.854   126°  screens=1  raw: 01 7e 00
14:43:20.967   126°  screens=1  raw: 01 7e 00
14:43:21.073   126°  screens=1  raw: 01 7e 00
14:43:21.179   126°  screens=1  raw: 01 7e 00
14:43:21.285   126°  screens=1  raw: 01 7e 00
14:43:21.391   126°  screens=1  raw: 01 7e 00
14:43:21.497   126°  screens=1  raw: 01 7e 00
14:43:21.600   126°  screens=1  raw: 01 7e 00
14:43:21.706   126°  screens=1  raw: 01 7e 00
14:43:21.810   126°  screens=1  raw: 01 7e 00
14:43:21.920   126°  screens=1  raw: 01 7e 00
14:43:22.027   126°  screens=1  raw: 01 7e 00
14:43:22.135   126°  screens=1  raw: 01 7e 00
14:43:22.238   126°  screens=1  raw: 01 7e 00
14:43:22.345   126°  screens=1  raw: 01 7e 00
14:43:22.449   126°  screens=1  raw: 01 7e 00
14:43:22.552   126°  screens=1  raw: 01 7e 00
14:43:22.658   126°  screens=1  raw: 01 7e 00
14:43:22.764   126°  screens=1  raw: 01 7e 00
14:43:22.873   126°  screens=1  raw: 01 7e 00
14:43:22.975   126°  screens=1  raw: 01 7e 00
14:43:23.078   126°  screens=1  raw: 01 7e 00
14:43:23.185   126°  screens=1  raw: 01 7e 00
14:43:23.289   126°  screens=1  raw: 01 7e 00
14:43:23.395   126°  screens=1  raw: 01 7e 00
14:43:23.501   126°  screens=1  raw: 01 7e 00
14:43:23.608   126°  screens=1  raw: 01 7e 00
14:43:23.711   126°  screens=1  raw: 01 7e 00
14:43:23.814   126°  screens=1  raw: 01 7e 00
14:43:23.918   126°  screens=1  raw: 01 7e 00
14:43:24.024   126°  screens=1  raw: 01 7e 00
14:43:24.131   126°  screens=1  raw: 01 7e 00
14:43:24.237   126°  screens=1  raw: 01 7e 00
